timestamp,BPM
1744817936.516453,80.0,0
1744817937.6237905,78.0,0
1744817938.4279628,75.0,0
1744817938.9324992,81.0,0
1744826694.6882646,101.0,0
1744826695.0948808,105.0,0
1744826695.7068765,103.0,0
1744826696.215007,105.0,0
1744826697.1208868,99.0,0
1744826697.827271,97.0,0
1744826698.2355,100.0,0
1744826698.5393815,106.0,0
1744826699.0449572,108.0,0
1744826699.451394,111.0,0
1744826700.2585166,106.0,0
1744826700.765635,104.0,0
1744826701.3011174,108.0,0
1744826701.60433,111.0,0
1744826701.810525,128.0,0
1744826702.51789,129.0,0
1744826703.022927,127.0,0
1744826703.3315554,125.0,0
1744826703.739526,128.0,0
1744826704.0457869,131.0,0
1744826704.2535937,150.0,0
1744826704.5591443,160.0,0
1744826704.7646086,169.0,0
1744826705.3752272,159.0,0
1744826705.681974,155.0,0
1744826705.9967914,170.0,0
1744826706.3078244,182.0,0
1744826706.9161193,165.0,0
1744826707.6326377,150.0,0
1744826708.853671,125.0,0
1744826710.168523,101.0,0
1744826710.9882963,92.0,0
1744826713.2128983,71.0,0
1744826714.5394902,65.0,0
1744826715.3534508,62.0,0
1744826715.8669794,60.0,0
1744826716.1749387,60.0,0
1744826716.3833992,63.0,0
1744826716.6884532,66.0,0
1744826717.298593,70.0,0
1744826717.9087613,77.0,0
1744826718.319382,82.0,0
1744826719.739058,92.0,0
1744826720.8539045,96.0,0
1744826721.464166,98.0,0
1744826721.9748032,98.0,0
1744826725.4120176,174.0,0
1744826725.7221181,176.0,0
1744826725.9348836,179.0,0
1744826726.2457852,184.0,0
1744826726.4533527,189.0,0
1744826726.8611484,188.0,0
1744826727.0651762,193.0,0
1744826748.1795776,44.0,0
1744826753.3092754,59.0,0
1744826754.0214562,61.0,0
1744826754.9341836,62.0,0
1744826755.6451614,64.0,0
1744826756.1545153,67.0,0
1744826756.4644299,73.0,0
1744826756.6741402,81.0,0
1744826756.884796,90.0,0
1744826757.6980927,94.0,0
1744826758.1068058,104.0,0
1744826758.4212382,117.0,0
1744826758.932442,122.0,0
1744826759.2395756,138.0,0
1744826759.5487306,153.0,0
1744826760.258222,144.0,0
1744826761.3697052,121.0,0
1744826761.97979,112.0,0
1744826762.3901384,110.0,0
1744826762.7034252,118.0,0
1744826763.0118,122.0,0
1744826763.5227501,118.0,0
1744826764.5392482,107.0,0
1744826765.552738,95.0,0
1744826766.3640225,88.0,0
1744826766.8715959,91.0,0
1744826767.1831486,103.0,0
1744826767.490002,110.0,0
1744826767.6965578,113.0,0
1744826768.3046706,108.0,0
1744826769.0148666,100.0,0
1744826769.4230607,100.0,0
1744826769.8295763,113.0,0
1744826770.2360728,127.0,0
1744826770.5413992,143.0,0
1744826771.3512664,134.0,0
1744826771.9619718,125.0,0
1744826772.671158,114.0,0
1744826773.1810918,108.0,0
1744826773.9925003,105.0,0
1744826774.908713,102.0,0
1744826775.5175595,98.0,0
1744826776.932642,84.0,0
1744826777.9550061,78.0,0
1744826778.8657963,72.0,0
1744826779.4825108,73.0,0
1744826780.30497,71.0,0
1744826781.620267,67.0,0
1744826782.4484134,64.0,0
1744826783.158359,65.0,0
1744826783.96858,65.0,0
1744826785.0898192,63.0,0
1744826785.7038538,68.0,0
1744826786.413156,70.0,0
1744826786.923828,74.0,0
1744826788.140609,69.0,0
1744826789.1568336,67.0,0
1744826789.7730298,72.0,0
1744826790.3868465,75.0,0
1744826791.516566,71.0,0
1744826792.2326365,72.0,0
1744826792.744565,78.0,0
1744826793.1499684,80.0,0
1744826793.3551364,85.0,0
1744826793.7596676,87.0,0
1744826794.0637193,102.0,0
1744826794.2683868,118.0,0
1744826794.4714196,127.0,0
1744826794.774112,136.0,0
1744826795.0777206,171.0,0
1744826796.6910157,133.0,0
1744826797.7001972,119.0,0
1744826799.4152272,95.0,0
1744826800.7252886,81.0,0
1744826801.5336983,77.0,0
1744826802.648594,69.0,0
1744826803.364485,65.0,0
1744826803.979672,63.0,0
1744826804.2913783,62.0,0
1744826804.7037323,62.0,0
1744826805.2130637,70.0,0
1744826806.3289073,69.0,0
1744826807.046945,78.0,0
1744826807.4532828,89.0,0
1744826807.6641781,96.0,0
1744826808.3914897,105.0,0
1744826808.9020538,108.0,0
1744826809.3115332,112.0,0
1744826809.6238244,113.0,0
